Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
G1083_Denmark	G1083_Denmark-ERR1884131	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884131_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884131_2.fastq.gz	NA
G1083_Denmark	G1083_Denmark-ERR1884132	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884132_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884132_2.fastq.gz	NA
G1083_Denmark	G1083_Denmark-ERR1883904	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883904_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883904_2.fastq.gz	NA
G1149_Denmark	G1149_Denmark-ERR1883905	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883905_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883905_2.fastq.gz	NA
G1149_Denmark	G1149_Denmark-ERR1883906	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883906_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883906_2.fastq.gz	NA
G1149_Denmark	G1149_Denmark-ERR1883961	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883961_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883961_2.fastq.gz	NA
G1149_Denmark	G1149_Denmark-ERR1883962	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883962_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883962_2.fastq.gz	NA
G1149_Denmark	G1149_Denmark-ERR1884133	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884133_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884133_2.fastq.gz	NA
SK92_Norway	SK92_Norway-ERR8050978	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR8050978_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR8050978_2.fastq.gz	NA
SK11_Hungary	SK11_Hungary-SRR6263250	0	4	PE	NA	double	half	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/SRR6263250_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/SRR6263250_2.fastq.gz	NA
